"Pays","Indicateur","Periode","Valeurs"
"India","Emissions totales de GES (kt equivalent CO2)","2000-2019","2528847.9068154"
"Indonesia","Emissions totales de GES (kt equivalent CO2)","2000-2019","792313.16174959"
"Iran, Islamic Rep.","Emissions totales de GES (kt equivalent CO2)","2000-2019","761548.94698294"
"Iraq","Emissions totales de GES (kt equivalent CO2)","2000-2019","206549.99983938"
"Ireland","Emissions totales de GES (kt equivalent CO2)","2000-2019","67257.368388929"
"Israel","Emissions totales de GES (kt equivalent CO2)","2000-2019","83840.526781584"
"Italy","Emissions totales de GES (kt equivalent CO2)","2000-2019","475285.25583368"
"Jamaica","Emissions totales de GES (kt equivalent CO2)","2000-2019","10443.684226588"
"Japan","Emissions totales de GES (kt equivalent CO2)","2000-2019","1266203.671104"
"Jordan","Emissions totales de GES (kt equivalent CO2)","2000-2019","29385.263141833"
"Kazakhstan","Emissions totales de GES (kt equivalent CO2)","2000-2019","255694.21306409"
"Kenya","Emissions totales de GES (kt equivalent CO2)","2000-2019","55454.737211529"
"Kiribati","Emissions totales de GES (kt equivalent CO2)","2000-2019","87.368421256542"
"Korea, Dem. People's Rep.","Emissions totales de GES (kt equivalent CO2)","2000-2019","74947.894849275"
"Korea, Rep.","Emissions totales de GES (kt equivalent CO2)","2000-2019","621191.04967619"
"Kuwait","Emissions totales de GES (kt equivalent CO2)","2000-2019","107767.36891897"
"Kyrgyz Republic","Emissions totales de GES (kt equivalent CO2)","2000-2019","13392.631530762"
"Lao PDR","Emissions totales de GES (kt equivalent CO2)","2000-2019","15101.052585401"
"Latvia","Emissions totales de GES (kt equivalent CO2)","2000-2019","11653.684164348"
"Lebanon","Emissions totales de GES (kt equivalent CO2)","2000-2019","26483.684037861"
"Lesotho","Emissions totales de GES (kt equivalent CO2)","2000-2019","2308.9473498495"
"Liberia","Emissions totales de GES (kt equivalent CO2)","2000-2019","1525.7894647749"
"Libya","Emissions totales de GES (kt equivalent CO2)","2000-2019","115672.6315147"
"Liechtenstein","Emissions totales de GES (kt equivalent CO2)","2000-2019","203.68420920874"
"Lithuania","Emissions totales de GES (kt equivalent CO2)","2000-2019","20422.631615087"
"Luxembourg","Emissions totales de GES (kt equivalent CO2)","2000-2019","11263.157844543"
"Madagascar","Emissions totales de GES (kt equivalent CO2)","2000-2019","27571.052752043"
"Malawi","Emissions totales de GES (kt equivalent CO2)","2000-2019","6519.473665639"
"Malaysia","Emissions totales de GES (kt equivalent CO2)","2000-2019","246862.63074373"
"Maldives","Emissions totales de GES (kt equivalent CO2)","2000-2019","1342.6315690342"
"Mali","Emissions totales de GES (kt equivalent CO2)","2000-2019","31072.105508102"
"Malta","Emissions totales de GES (kt equivalent CO2)","2000-2019","2714.2105290764"
"Marshall Islands","Emissions totales de GES (kt equivalent CO2)","2000-2019","182.63158202171"
"Mauritania","Emissions totales de GES (kt equivalent CO2)","2000-2019","11273.157922845"
"Mauritius","Emissions totales de GES (kt equivalent CO2)","2000-2019","5682.6315679048"
"Mexico","Emissions totales de GES (kt equivalent CO2)","2000-2019","627334.72964638"
"Micronesia, Fed. Sts.","Emissions totales de GES (kt equivalent CO2)","2000-2019","218.94736666428"
"Moldova","Emissions totales de GES (kt equivalent CO2)","2000-2019","12456.842221712"
"Mongolia","Emissions totales de GES (kt equivalent CO2)","2000-2019","37242.104982075"
"Montenegro","Emissions totales de GES (kt equivalent CO2)","2000-2019","3934.7368541517"
